,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
1,0.00,1.10,1.61,3.97,16.42,18.01,11.96,20.89,5.94,18.41,5.94,9.53,15.56,16.74,13.24,10.84,18.04,13.17,19.56,16.23,10.21,13.94,13.74,13.57,15.81,11.59,10.55,12.43,17.16,16.61,11.07,15.85,18.69,12.24,18.68,13.29,12.40,12.45,12.41,12.78,17.25,19.99,18.01,15.13,14.83,14.35,13.93,18.76,15.71,17.39,20.96,19.32,16.10,17.48,16.31,15.40,16.15,16.34,21.62,16.93,24.21,17.10,20.01,19.42,21.72,22.50,19.25,23.29,20.32,22.77,22.16,21.19,21.60,26.35,21.99,20.39,23.44,22.35,23.37,24.57,27.26,25.12,26.40,42.43,8.19,5.95,3.36,6.34,11.89,18.73,11.54,6.99,11.84,6.28,22.45,9.96,15.58,15.32,9.02,16.31,16.31,16.29,14.70,16.15,20.01,19.23,15.88,15.54,16.77,14.60,14.39,17.73,20.62,17.37,15.80,17.97,16.43,17.99,20.55,16.59,18.32,21.32,22.61,24.19,22.22,24.33,22.93,24.29,43.28
2,1.12,0.00,1.20,3.56,16.01,17.60,11.55,20.48,4.87,18.00,4.87,9.11,15.14,16.33,12.82,10.43,17.63,12.76,19.14,15.82,8.92,13.53,13.33,13.16,15.40,11.18,10.14,12.02,16.75,16.20,10.65,15.44,18.28,11.83,18.27,12.88,11.99,12.04,11.99,12.37,16.84,19.57,17.60,14.72,14.42,13.06,12.65,18.35,15.30,16.98,20.55,18.91,14.82,16.19,15.03,14.12,14.86,15.05,21.21,15.64,23.80,15.81,19.60,18.13,21.31,22.09,17.96,22.01,19.04,22.36,20.88,19.90,20.32,25.94,20.71,19.10,23.02,21.07,22.96,24.16,26.85,23.83,25.11,42.02,7.78,4.85,2.27,5.93,11.48,18.31,11.12,6.58,11.43,5.87,22.04,9.54,15.17,14.91,8.61,15.89,15.90,15.88,14.29,15.74,19.60,18.81,15.47,15.12,16.36,13.31,13.11,17.32,15.67,16.09,14.52,17.56,15.14,16.71,20.14,15.30,17.04,20.91,22.20,23.78,20.94,23.04,22.52,23.01,42.87
3,1.52,1.11,0.00,3.30,16.27,17.85,11.80,20.73,5.28,18.26,5.29,10.15,15.40,16.59,13.08,11.47,17.89,13.01,19.40,16.08,9.53,13.79,13.59,13.42,15.65,12.21,11.19,13.05,17.00,16.45,11.70,15.69,18.53,12.87,18.53,12.61,13.04,13.09,13.04,13.42,17.09,19.83,17.85,15.77,15.47,13.67,13.25,18.60,16.35,18.03,21.60,19.96,15.42,17.58,15.63,14.72,15.47,15.66,22.26,16.25,24.85,16.41,19.33,18.74,22.36,23.14,18.57,22.61,19.64,23.41,21.48,20.51,20.92,26.99,21.31,19.71,22.75,21.67,22.69,23.89,26.58,24.43,25.72,43.07,7.35,5.96,3.38,5.50,11.73,18.57,11.38,6.31,11.68,5.60,22.29,10.58,15.42,15.16,9.66,16.15,16.16,16.13,14.02,17.37,19.85,19.07,16.51,16.17,17.40,13.92,13.71,18.37,19.94,17.47,15.12,17.29,15.74,17.31,21.18,15.91,17.64,20.64,21.93,23.51,21.54,23.64,22.25,23.61,43.92
4,3.99,3.59,3.30,0.00,13.06,14.65,8.60,17.53,2.66,15.05,2.67,6.16,12.19,13.38,9.87,7.48,14.68,9.81,16.19,12.87,6.85,10.58,10.38,10.21,12.45,8.23,7.19,9.07,13.80,13.25,7.70,12.49,15.33,8.88,15.32,9.93,9.04,9.09,9.04,9.42,13.89,16.62,14.65,11.77,11.47,10.99,10.57,15.40,12.35,14.03,17.60,15.96,12.74,14.11,12.95,12.04,12.78,12.98,18.26,13.57,20.85,13.73,16.65,16.06,18.36,19.14,15.89,19.93,16.96,19.41,18.80,17.83,18.24,22.99,18.63,17.03,20.07,18.99,20.01,21.21,23.90,21.75,23.04,39.07,10.64,8.45,5.86,5.30,8.53,15.36,8.17,3.63,8.48,2.92,19.09,6.59,12.22,11.96,5.66,12.94,12.95,12.93,11.34,12.79,16.65,15.86,12.52,12.17,13.41,11.23,11.03,14.37,17.26,14.01,12.44,14.61,13.06,14.63,17.19,13.23,14.96,17.96,19.25,20.83,18.86,20.96,19.57,20.93,39.92
5,16.14,15.74,15.45,12.79,0.00,9.83,4.76,12.62,14.78,9.00,14.77,7.80,7.02,8.47,5.08,7.53,9.77,5.90,11.29,8.16,10.74,7.62,6.73,7.26,7.74,7.88,9.82,7.74,9.08,8.54,9.02,7.82,10.62,8.84,10.61,21.38,10.26,9.63,9.58,10.36,9.18,11.91,9.94,9.70,12.02,11.31,11.77,10.69,11.52,11.13,14.70,13.06,13.06,12.36,14.77,13.25,14.61,14.18,15.35,13.89,17.94,14.94,21.38,17.88,15.46,16.24,16.21,16.36,17.28,16.51,18.92,18.15,18.56,20.08,20.45,18.85,22.77,19.31,26.24,21.65,26.28,23.06,24.34,36.17,19.35,20.47,18.01,11.65,8.02,10.54,6.35,12.30,6.05,11.39,14.18,7.43,7.31,7.07,9.79,8.03,8.24,8.21,17.68,9.50,11.94,11.15,10.07,14.88,10.50,12.44,13.17,11.46,16.53,11.49,12.76,26.06,14.27,13.86,14.28,14.43,16.16,21.37,24.83,28.25,19.18,18.62,22.14,18.58,37.02
6,18.54,18.13,17.84,15.19,10.19,0.00,8.08,4.46,17.17,1.41,17.13,10.20,3.57,3.63,6.58,9.24,3.62,7.14,5.14,5.43,13.32,8.71,7.09,7.97,5.90,9.41,11.90,8.53,5.59,6.32,10.56,7.05,5.28,9.63,6.09,20.72,10.99,10.13,10.32,11.09,8.06,7.10,8.21,10.06,12.38,11.67,12.51,8.70,11.88,11.49,8.77,9.87,13.42,12.72,15.51,13.98,15.34,14.91,10.93,14.24,14.34,15.61,22.11,18.61,12.28,16.74,16.57,13.18,17.64,13.33,15.75,18.50,23.38,17.63,21.19,19.58,23.51,22.55,26.98,22.39,27.01,22.10,23.39,35.22,21.74,22.86,20.40,14.04,12.71,0.38,9.66,12.54,8.14,13.23,7.82,9.31,4.51,5.34,12.52,5.16,6.28,7.10,20.01,8.36,7.09,8.64,10.43,17.51,10.86,13.17,13.91,11.82,17.26,11.85,13.12,26.71,15.00,14.22,11.11,15.16,17.59,22.11,25.57,28.98,22.66,18.95,22.87,19.55,36.07
7,11.90,11.50,11.20,8.55,4.77,7.68,0.00,10.47,10.53,6.85,10.53,3.56,4.87,6.32,2.93,5.06,7.62,3.75,9.13,6.01,8.80,5.70,4.58,5.33,5.58,5.95,7.77,5.81,6.93,6.38,7.10,5.67,8.47,6.91,8.46,17.13,8.33,7.70,7.66,8.43,7.02,9.76,7.79,7.55,9.87,9.37,9.85,8.54,9.37,8.98,12.54,10.91,11.12,10.21,12.85,11.32,12.69,12.26,13.20,11.95,15.79,13.01,19.46,15.96,13.31,14.09,14.27,14.21,15.34,14.35,17.18,16.21,16.62,17.93,18.53,16.93,20.85,17.37,24.32,19.73,24.35,20.90,22.19,34.02,15.11,16.22,13.76,7.40,3.25,8.39,3.29,8.06,3.60,8.22,12.03,4.30,5.16,4.92,9.16,5.88,6.09,6.06,15.73,7.35,9.79,9.00,7.92,12.93,8.35,10.51,11.25,9.31,14.61,9.34,10.82,21.81,12.34,11.71,12.13,12.51,14.24,19.45,22.91,26.32,17.24,16.46,20.22,16.43,34.87
8,20.23,19.83,19.54,16.88,11.97,4.55,9.86,0.00,18.86,3.48,18.30,11.89,5.72,4.80,7.76,10.42,4.46,8.31,2.98,6.60,14.50,9.89,8.27,9.14,7.07,10.59,13.08,9.71,6.50,7.50,11.73,8.22,5.35,10.81,6.20,21.90,12.17,11.31,11.49,12.27,9.23,7.21,8.33,11.24,13.56,12.84,13.68,8.82,13.06,13.60,9.90,11.00,14.60,13.90,16.68,15.15,16.52,16.09,12.73,15.42,10.81,16.78,23.29,19.79,14.35,13.22,17.74,18.21,19.44,17.11,17.67,22.53,19.86,14.10,22.36,20.76,24.68,19.03,28.15,23.56,31.43,18.58,19.86,31.69,23.44,24.55,22.10,15.74,15.53,4.20,11.45,15.63,9.84,14.92,4.30,11.00,5.68,6.51,13.70,6.34,7.45,8.27,21.19,9.53,7.21,8.75,11.61,18.69,12.04,14.35,15.08,9.73,18.44,13.03,14.29,27.88,16.17,15.40,13.17,16.34,18.76,23.28,26.74,30.15,19.14,15.42,24.05,16.02,32.54
9,6.90,5.80,6.22,3.59,15.82,17.41,11.36,20.29,0.00,17.81,1.70,7.78,14.96,16.14,12.64,9.10,17.44,12.57,18.96,14.44,6.30,11.03,13.14,11.03,14.01,9.35,7.06,10.68,15.36,14.78,8.41,13.81,16.89,9.59,16.89,8.99,9.34,9.39,9.35,9.25,14.14,18.19,14.92,12.48,11.72,10.44,10.03,15.82,12.26,14.74,18.31,16.67,12.20,13.57,12.40,11.50,12.24,12.43,18.97,13.02,21.56,13.19,15.71,15.51,19.07,19.85,15.34,19.38,16.41,20.18,18.25,17.28,17.70,23.70,18.09,16.48,19.14,18.45,19.07,20.28,22.96,21.21,22.49,39.78,13.56,10.20,7.62,8.06,11.29,18.13,9.33,5.24,9.59,4.53,21.85,8.21,14.98,13.52,7.28,15.71,14.52,14.49,10.40,13.50,18.21,17.76,13.23,15.00,14.11,10.69,10.49,15.08,16.32,13.46,11.89,13.68,12.52,14.09,17.89,12.68,14.41,17.02,18.32,19.89,18.31,20.42,18.63,20.38,40.63
10,16.72,16.32,16.02,13.37,8.46,1.41,6.35,3.52,15.35,0.00,15.35,8.38,2.75,2.22,5.18,7.43,2.22,5.73,3.74,3.71,11.60,7.00,5.37,6.25,4.18,7.69,10.18,6.81,4.19,4.92,8.84,5.33,3.88,7.91,4.68,19.01,9.27,8.41,8.60,9.37,6.65,5.69,6.81,8.34,10.66,9.95,10.79,7.30,10.16,9.77,7.36,8.46,11.70,11.00,13.79,12.26,13.62,13.20,9.53,12.53,11.88,13.89,20.40,16.90,10.87,11.66,14.85,11.78,15.92,11.92,14.34,16.79,17.20,15.17,19.47,17.87,21.79,15.21,25.26,20.67,25.29,19.65,20.93,32.76,19.93,21.04,18.58,12.22,10.89,1.68,7.93,10.72,6.32,11.41,5.64,7.49,2.56,3.62,10.80,3.76,4.56,5.69,18.29,6.95,5.69,7.23,8.71,15.79,9.14,11.45,12.19,10.10,15.55,10.13,11.40,24.99,13.28,12.50,9.70,13.44,15.87,20.39,23.85,27.26,15.18,16.49,21.16,14.00,33.61
11,5.98,4.87,5.29,2.66,14.88,16.47,10.42,18.42,1.68,15.95,0.00,6.83,14.08,14.28,11.69,7.47,15.58,10.17,17.09,13.08,4.60,9.60,10.47,9.60,12.65,7.65,5.35,9.25,14.00,13.42,6.71,12.10,15.54,7.88,15.53,8.56,7.64,7.69,7.64,7.55,12.43,16.83,13.22,10.78,10.02,8.74,8.32,14.12,10.55,13.04,16.60,14.96,10.49,11.86,10.70,9.79,10.54,10.73,17.26,11.32,19.85,11.48,15.28,13.81,17.37,18.15,13.64,17.68,14.71,18.48,16.55,15.58,15.99,21.99,16.38,14.78,18.70,16.74,18.64,17.58,22.20,19.50,20.79,38.08,12.63,9.28,6.69,7.12,10.34,17.19,7.70,4.29,7.96,3.59,19.99,6.58,13.15,12.17,5.59,13.11,13.16,13.13,9.97,11.79,16.86,16.06,11.52,10.34,12.41,8.98,8.78,13.37,11.34,11.76,10.19,13.24,10.81,12.38,16.19,10.98,12.71,16.59,17.88,19.46,16.61,18.71,18.20,18.68,38.93
12,9.33,8.93,8.64,5.98,8.02,9.60,3.55,12.48,6.70,10.01,6.69,0.00,7.15,8.34,4.83,1.67,9.64,4.76,11.15,7.83,5.48,3.80,5.34,4.46,7.40,3.26,4.38,4.11,8.75,8.20,4.33,7.45,10.29,5.21,10.28,14.19,5.38,5.42,5.38,5.76,8.84,11.58,9.60,8.08,7.76,7.65,7.57,10.36,8.66,10.75,14.32,12.68,9.40,9.88,9.91,9.04,9.74,9.97,14.98,10.23,17.57,10.73,15.78,13.01,15.08,15.86,12.55,15.98,13.62,16.13,15.46,14.49,14.90,19.71,15.59,13.98,17.91,15.65,20.64,16.79,21.41,18.41,19.70,35.79,13.36,14.47,11.20,6.05,5.95,10.32,1.31,3.61,2.17,4.70,14.04,0.92,7.17,6.91,4.71,7.90,7.91,7.88,12.38,9.13,11.60,10.82,9.70,9.58,10.12,8.23,7.99,11.09,11.66,9.78,9.10,18.87,10.06,11.29,13.90,10.22,11.96,16.51,19.23,22.64,15.52,17.62,17.27,17.59,36.64
13,15.29,14.88,14.59,11.94,6.94,3.68,4.83,5.79,13.92,2.78,13.92,6.95,0.00,2.34,3.37,6.00,3.83,3.93,5.34,2.22,10.11,5.50,3.88,4.76,2.69,6.20,8.69,5.32,3.83,3.25,7.35,3.84,5.12,6.42,5.11,17.51,7.78,6.92,7.10,7.88,4.98,6.93,5.74,6.85,9.17,8.46,9.30,6.49,8.67,8.28,8.61,7.77,10.21,9.51,12.29,10.77,12.13,11.70,10.06,11.03,13.12,12.40,18.90,15.40,10.17,10.95,13.36,11.07,14.43,11.21,13.63,15.29,15.71,14.79,17.98,16.37,20.29,14.50,23.77,19.18,23.80,17.76,19.05,30.88,18.49,19.61,17.15,10.79,9.46,4.04,6.41,9.29,4.89,9.98,7.91,6.06,1.07,2.13,9.31,2.09,3.07,4.02,16.80,5.28,6.93,6.82,7.22,14.30,7.65,9.96,10.70,8.61,14.05,8.64,9.91,23.50,11.79,11.01,8.99,11.95,14.37,18.90,22.36,25.77,16.33,13.32,19.66,13.29,31.73
