,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,0.00,21.48,29.52,31.58,30.85,25.28,34.34,28.20,31.45,26.61,27.35,26.93,31.12,28.72,32.97,34.97,45.21,31.12,30.14,46.35,31.76,40.14,32.23,33.99,33.14,33.08,33.37,35.23,34.76,34.32,34.38,34.50,34.60,35.69,42.05,35.52,38.14,38.92,29.45,40.56,27.55,27.35,27.56,32.12,32.18,26.74,26.51,32.57,32.71,26.23,22.96,20.62,30.97,23.67,30.39,22.43,23.38,23.97,24.73,23.49,24.22,32.39,37.20,29.17,33.86,33.89,30.09,25.79,32.01,34.40,27.86,31.94,27.39,46.12,26.92,28.17,34.28,32.60,29.88,32.14,33.98,31.37,17.00,30.08,16.30,28.92,30.13,34.77,30.93,30.85,30.85,30.85,33.00,31.60,31.81,19.01,32.59,33.42,32.53,33.12,31.75,35.25,35.30,32.63,33.05,40.73,32.53,33.65,34.50,33.46,33.84,38.33,38.55,39.97,35.11,35.05,36.32,35.56,37.74,27.37,48.59,39.69,40.87,41.43,30.64,49.46,40.16
2,21.46,0.00,8.03,10.24,9.52,3.95,13.00,6.87,10.12,5.28,6.02,5.60,9.79,7.38,11.64,13.63,23.88,9.79,8.80,25.02,10.43,18.81,10.90,12.66,11.80,11.75,12.04,13.90,13.43,12.98,13.04,13.17,13.27,14.36,20.72,14.19,16.81,17.59,21.17,19.23,41.58,5.86,6.07,10.63,10.69,5.26,5.02,11.24,11.38,4.74,1.85,8.98,8.21,2.56,9.06,1.10,2.05,2.63,3.39,2.15,2.89,11.06,15.86,7.84,12.53,12.56,8.76,4.46,10.67,13.07,6.53,10.61,6.06,24.79,5.59,6.83,12.95,11.27,8.54,10.81,12.65,10.04,17.63,8.75,18.09,7.58,8.79,13.44,9.60,9.52,9.52,9.52,11.67,10.26,10.48,23.91,11.26,12.08,11.20,11.79,10.42,13.92,13.97,11.30,11.71,19.40,11.20,12.32,13.17,12.13,12.51,16.99,17.22,18.64,13.78,13.72,14.99,14.22,16.41,27.21,27.26,18.36,19.54,20.10,39.51,28.13,51.46
3,29.34,8.04,0.00,1.16,1.81,6.09,6.24,3.64,4.26,7.19,5.22,9.13,5.56,6.39,7.23,9.01,17.50,6.64,7.81,18.64,7.63,14.19,9.93,10.13,10.83,10.77,11.04,12.91,12.46,12.01,12.07,12.20,12.30,14.33,16.10,13.19,15.83,20.31,23.89,18.26,44.31,7.93,8.14,6.38,5.60,2.73,3.08,3.53,3.67,4.11,6.46,16.86,0.53,5.91,1.19,7.72,9.40,5.45,10.74,6.33,8.78,3.56,9.32,3.57,4.98,5.05,3.34,7.14,4.08,7.95,5.73,5.56,5.26,17.08,9.12,5.84,8.33,6.64,6.44,7.15,7.65,6.22,20.75,15.20,21.21,12.86,7.80,8.81,8.61,8.55,8.55,8.55,8.96,9.27,9.50,27.02,10.28,9.67,10.23,10.82,12.33,10.55,10.60,10.32,10.74,14.78,12.25,15.84,12.17,15.65,11.53,14.74,14.97,16.39,12.81,16.45,14.02,16.95,15.44,29.93,23.96,21.08,18.57,22.82,42.23,27.15,54.18
4,32.07,11.16,1.16,0.00,2.10,7.26,6.08,4.42,4.49,7.86,5.90,11.86,6.74,7.06,7.07,8.84,16.97,6.87,8.48,18.11,8.38,14.03,10.60,9.96,11.51,11.45,11.72,13.36,13.14,12.69,12.75,12.88,12.97,15.01,15.94,13.86,16.51,20.99,24.57,18.94,44.98,9.11,9.31,4.82,4.04,3.91,4.25,1.97,2.11,5.28,10.13,19.59,1.00,7.08,1.83,10.45,12.07,6.62,13.42,9.07,11.51,3.79,8.80,4.24,4.81,4.89,4.11,7.81,4.31,7.79,6.41,5.39,5.94,16.55,11.85,6.51,8.16,6.48,7.22,6.99,7.49,7.42,21.43,15.88,21.88,14.78,8.47,8.65,9.28,9.22,9.22,9.22,8.80,9.94,10.18,27.70,10.96,9.50,10.90,11.49,13.01,10.38,10.43,11.00,11.42,14.62,12.92,16.52,11.69,16.33,12.21,14.58,14.81,16.23,13.48,17.12,14.69,17.62,16.11,30.60,23.44,21.76,19.25,23.50,42.91,27.83,54.86
5,30.90,9.99,1.49,1.98,0.00,8.22,4.66,3.15,2.90,6.69,4.72,10.69,4.21,5.89,5.86,8.05,16.59,5.28,6.13,17.74,6.27,13.24,9.43,8.14,10.33,10.28,9.36,11.94,11.96,11.51,11.57,11.70,11.80,13.83,15.15,11.51,15.34,19.81,23.39,17.76,43.81,9.55,9.76,5.83,5.05,4.22,4.56,2.98,3.12,5.73,8.96,18.42,1.11,8.37,2.06,9.28,10.90,7.07,12.25,7.89,10.34,2.20,8.42,3.07,3.39,3.47,2.73,6.64,2.72,6.37,5.23,3.58,4.76,16.17,10.68,5.34,7.37,5.06,5.95,5.23,6.87,4.86,20.25,14.70,20.71,13.60,6.12,7.23,7.01,8.05,8.05,8.05,6.98,7.59,9.01,26.52,9.78,7.68,9.73,10.32,11.83,8.97,9.02,9.83,10.24,13.83,11.75,15.34,10.49,15.15,11.03,13.16,13.39,14.81,12.31,15.95,13.52,16.45,14.94,29.43,23.06,20.59,18.07,22.33,41.73,26.65,53.68
6,25.09,4.19,7.40,7.78,7.05,0.00,10.54,4.41,7.66,2.95,3.56,4.88,7.32,4.92,9.18,11.17,21.42,7.33,6.34,22.56,7.96,16.35,8.44,10.20,9.34,9.28,9.57,11.44,10.97,10.52,10.58,10.71,10.81,12.84,18.26,11.72,14.34,16.87,20.45,16.77,40.87,7.02,7.23,8.64,8.71,5.04,4.77,8.78,8.92,2.55,2.22,12.62,7.18,1.67,6.60,3.48,5.10,1.21,6.44,2.09,4.53,8.60,13.40,5.37,10.07,10.09,6.29,2.00,8.21,10.60,4.07,8.14,3.60,22.33,4.88,4.37,10.49,8.80,6.08,8.34,10.18,7.57,16.92,11.36,17.37,8.62,6.33,10.97,7.14,7.06,7.06,7.06,9.21,7.80,8.01,23.19,8.79,9.62,8.74,9.33,9.70,11.46,11.51,8.83,9.25,16.93,10.76,11.60,10.70,11.41,10.04,14.53,14.76,16.18,11.32,13.01,12.53,13.51,13.95,26.49,24.80,17.64,17.08,19.38,38.79,25.66,50.74
7,34.80,13.89,7.10,6.70,5.66,12.12,0.00,6.98,4.79,10.59,8.63,14.59,4.27,7.86,3.18,3.75,12.52,6.01,6.87,13.66,5.91,8.91,12.66,6.57,10.62,10.57,8.03,8.63,14.36,12.03,13.97,12.35,12.45,16.23,10.82,10.23,18.55,22.21,25.79,20.23,46.21,17.55,17.76,8.77,7.99,10.62,10.97,5.92,6.06,13.08,12.86,22.32,6.72,12.28,8.47,13.18,14.80,11.74,16.15,11.80,14.24,4.09,3.68,6.67,1.38,1.75,5.87,10.54,4.61,2.22,9.14,2.92,8.67,12.10,14.58,7.80,3.05,2.59,7.30,3.01,3.77,4.95,23.95,18.40,24.40,17.30,6.86,4.76,7.75,8.51,8.51,8.51,6.33,6.95,9.06,30.22,8.03,5.93,10.03,10.60,14.32,7.52,6.55,12.43,11.40,9.50,14.03,19.04,8.29,18.85,11.32,9.85,10.08,11.50,14.71,18.35,13.82,18.85,15.23,31.83,19.78,22.98,15.92,24.72,44.13,29.15,56.08
8,28.00,7.09,3.66,4.04,3.15,5.32,7.65,0.00,3.28,3.79,1.82,7.79,4.44,2.90,6.29,8.28,18.53,4.61,3.63,19.67,5.25,13.46,6.53,7.48,7.44,7.38,6.86,8.72,9.06,8.61,8.68,8.80,8.90,10.94,15.37,9.01,12.44,16.91,20.50,14.86,40.91,8.86,9.07,7.89,7.10,6.53,6.61,5.03,5.17,5.04,6.06,15.52,3.38,5.47,3.72,6.38,8.00,4.94,9.35,4.99,7.44,2.88,10.83,0.70,7.18,7.21,1.93,3.74,3.13,7.72,2.34,5.26,1.86,18.58,7.78,2.44,7.60,5.92,3.19,5.46,7.30,4.86,17.36,11.80,17.81,10.70,3.61,8.09,4.42,5.15,5.15,5.15,6.49,5.08,5.80,23.62,6.58,6.90,6.83,7.42,8.93,8.74,8.79,6.93,7.34,14.05,8.85,12.45,7.99,12.26,8.14,11.81,12.04,13.46,9.41,13.05,10.62,13.55,12.04,26.53,22.08,17.69,15.17,19.43,38.84,23.76,50.79
9,31.52,10.61,4.50,4.46,2.84,8.84,5.04,3.28,0.00,7.31,5.34,11.31,2.72,4.58,4.58,6.57,16.82,2.74,3.59,17.97,3.73,11.75,9.38,6.52,7.33,7.29,6.82,8.69,11.08,8.75,10.69,9.07,9.16,12.95,13.66,8.97,15.27,18.93,22.51,16.94,42.93,10.15,10.36,7.38,6.60,6.51,6.86,4.53,4.67,6.33,9.58,19.04,3.94,8.99,4.36,9.90,11.52,8.46,12.87,8.51,10.96,1.27,8.20,2.97,3.77,3.90,2.18,7.26,0.62,6.00,5.86,2.71,5.38,18.08,11.30,4.52,5.89,4.20,2.52,3.74,5.58,2.99,20.67,15.12,21.12,14.02,3.58,6.37,4.46,5.23,5.23,5.23,5.36,5.05,5.78,26.94,6.56,6.06,6.74,7.32,11.04,8.11,8.16,9.15,8.12,12.34,10.74,15.76,7.95,15.57,8.03,11.78,12.01,13.43,11.43,15.06,10.53,15.57,11.95,28.55,22.62,19.70,15.09,21.44,40.85,25.86,52.80
10,27.01,6.10,7.19,7.57,6.84,5.21,10.29,4.17,7.41,0.00,2.67,4.05,7.07,3.17,8.93,10.92,21.17,7.09,4.66,22.31,7.72,16.10,5.98,8.93,6.88,6.83,7.84,10.17,8.51,8.06,8.12,8.25,8.35,10.39,16.66,10.45,11.89,16.36,19.94,14.31,40.36,10.27,10.48,11.42,10.63,8.28,8.02,8.57,8.71,5.79,5.06,10.90,6.96,4.48,6.38,5.39,4.67,4.46,6.02,3.63,3.70,8.35,13.15,5.16,9.82,9.84,6.05,2.76,7.96,10.35,1.78,7.89,2.56,22.11,4.05,3.16,10.24,8.55,5.83,8.09,9.93,7.33,16.80,11.25,17.26,7.79,5.43,10.72,5.10,4.60,4.60,4.60,8.97,7.56,5.58,23.07,6.35,9.00,6.28,6.87,8.38,11.44,9.85,6.38,6.79,16.68,8.30,10.77,9.43,10.58,7.58,13.26,13.48,14.90,8.86,12.50,10.07,13.00,11.49,25.98,23.52,17.14,14.62,18.88,38.28,23.21,50.23
11,27.15,6.24,4.91,5.29,4.56,4.47,8.02,1.88,5.14,2.20,0.00,6.94,4.80,2.05,6.66,8.65,18.89,4.80,3.82,20.04,5.44,13.82,5.68,7.68,6.59,6.53,7.05,8.92,8.22,7.77,7.83,7.96,8.05,10.09,15.73,9.20,11.59,16.07,19.65,14.02,40.07,9.90,10.11,9.14,8.35,7.92,7.65,6.28,6.42,5.43,5.21,14.68,4.68,4.63,4.10,5.54,7.16,4.09,8.50,4.15,6.59,6.08,12.08,2.88,7.55,7.57,3.77,2.89,5.69,8.08,0.81,5.62,0.22,19.83,6.93,1.85,7.96,6.28,3.56,5.82,7.66,5.05,16.51,10.96,16.96,10.68,3.81,8.45,4.62,4.31,4.31,4.31,6.69,5.28,5.26,22.78,6.04,7.10,5.99,6.58,8.09,8.93,8.98,6.08,6.50,14.41,8.01,11.60,8.18,11.41,7.29,12.01,12.23,13.65,8.57,12.20,9.78,12.71,11.20,25.69,22.27,16.84,14.33,18.58,37.99,22.91,49.94
12,26.87,5.96,9.15,11.37,10.64,5.08,14.13,8.00,11.25,3.65,6.31,0.00,10.91,6.82,12.77,14.76,25.01,10.92,8.31,26.15,11.55,19.94,6.47,12.57,9.38,9.32,11.49,13.68,8.13,8.21,7.74,8.40,8.50,8.76,20.17,13.69,12.60,11.99,15.57,16.86,35.98,10.13,10.34,11.75,11.82,8.15,7.88,12.37,12.51,5.66,4.93,10.76,10.77,4.35,10.19,5.25,4.54,4.32,5.40,3.50,3.57,12.19,16.99,8.96,13.66,13.69,9.89,3.79,11.80,14.19,5.43,11.73,6.20,25.92,0.01,7.96,14.08,12.39,9.67,11.93,13.77,11.16,12.03,6.48,12.49,3.74,9.92,14.56,8.74,7.09,7.09,7.09,12.80,11.39,8.46,18.31,10.00,13.21,6.74,9.36,6.77,14.95,13.50,7.09,7.50,20.52,7.55,6.72,12.94,6.53,10.08,16.77,17.00,18.41,9.57,8.12,12.56,8.62,11.76,21.61,27.03,12.76,17.11,14.50,33.91,23.92,45.86
13,31.45,10.54,5.48,5.08,4.04,8.77,3.22,5.49,3.16,7.24,5.27,11.24,0.00,4.50,1.86,3.85,14.10,2.65,3.52,15.24,2.56,9.03,9.31,4.13,7.26,7.22,5.37,8.37,11.01,8.68,10.62,8.99,9.09,12.88,10.94,7.52,15.20,18.86,22.44,16.87,42.85,14.20,14.40,7.15,6.36,9.00,9.34,4.30,4.43,9.72,9.50,18.97,5.10,8.92,6.84,9.83,11.45,8.39,12.79,8.44,10.89,2.47,6.08,5.80,2.74,2.77,4.24,7.19,2.99,3.28,5.78,0.82,5.31,14.31,11.23,4.45,3.16,1.48,3.94,1.02,2.86,1.59,20.60,15.04,21.05,13.95,3.51,3.65,4.39,5.16,5.16,5.16,2.97,3.60,5.71,26.86,4.67,3.67,6.67,7.25,10.97,5.39,5.44,9.07,8.04,9.62,10.67,15.69,5.86,15.50,7.96,9.58,9.81,11.23,11.35,14.99,10.46,15.49,11.88,28.47,19.89,19.63,15.01,21.37,40.78,25.79,52.73
14,28.71,7.80,6.44,6.82,6.09,6.03,8.03,3.24,5.14,4.52,2.61,6.83,4.81,0.00,6.66,8.66,18.90,4.70,2.40,20.04,4.98,13.83,5.74,6.66,4.74,4.82,5.58,7.90,8.27,6.28,7.88,6.60,6.70,10.14,14.39,8.19,11.64,16.12,19.70,14.48,40.12,11.46,11.67,10.67,9.88,9.48,9.21,7.82,7.96,6.99,6.77,16.23,6.21,6.19,5.63,7.09,7.45,5.65,8.80,5.71,6.48,6.08,10.89,3.55,7.55,7.58,3.65,4.45,5.70,8.09,3.05,5.63,2.50,19.11,6.82,1.38,7.97,6.29,3.57,5.83,7.67,4.95,16.46,10.91,16.91,9.81,3.16,8.46,2.83,2.45,2.45,2.45,6.58,5.17,3.31,22.73,4.09,6.74,4.28,4.72,8.04,9.17,7.59,6.13,5.65,14.42,8.06,11.55,7.17,11.36,5.44,10.99,11.22,12.64,8.62,12.26,8.07,12.76,9.49,25.74,21.26,16.89,12.62,18.63,38.04,22.97,49.99
15,33.18,12.27,7.36,6.96,5.92,10.50,3.20,7.23,5.23,8.97,7.01,12.97,2.65,6.24,0.00,1.62,13.41,3.04,5.25,14.55,3.16,8.34,11.04,3.79,7.78,8.95,5.25,6.70,12.74,10.41,12.35,10.73,10.83,14.61,11.32,8.29,16.93,20.59,24.17,17.35,44.59,15.93,16.14,9.03,8.24,10.88,11.22,6.18,6.31,11.46,11.24,20.70,6.98,10.66,8.72,11.56,13.18,10.12,14.53,10.18,12.62,4.35,5.39,7.53,2.73,2.75,6.12,8.92,4.94,2.59,7.52,2.70,7.05,13.62,12.96,6.18,2.47,1.02,5.68,1.08,1.00,2.22,22.33,16.78,22.78,15.68,3.88,1.98,4.69,6.89,6.89,6.89,2.23,4.20,6.07,28.60,5.27,3.15,8.41,6.77,12.70,3.72,3.77,10.81,9.78,8.93,12.41,17.42,5.52,17.23,9.70,7.92,8.14,9.56,13.09,16.73,12.20,17.23,13.61,30.21,18.18,21.36,13.99,23.10,42.51,27.53,54.46
16,34.99,14.08,9.14,8.74,7.70,12.31,3.75,9.03,7.03,10.78,8.81,14.78,4.45,8.04,1.62,0.00,11.64,4.61,7.06,12.78,4.73,6.57,12.85,4.68,8.67,10.76,6.15,5.26,14.55,10.99,14.16,11.02,11.11,16.42,8.47,6.85,18.74,22.40,25.98,15.91,46.39,17.74,17.95,10.81,10.03,12.66,13.01,7.96,8.10,13.26,13.05,22.51,8.76,12.46,10.50,13.37,14.99,11.93,16.34,11.98,14.43,6.13,5.21,9.34,4.53,4.55,7.91,10.73,6.74,2.41,9.32,4.48,8.85,11.85,14.77,7.99,1.54,3.20,7.49,3.63,1.42,3.84,24.14,18.58,24.59,17.49,5.95,2.47,6.76,8.70,8.70,8.70,3.78,5.77,9.25,30.41,6.84,4.44,10.21,7.66,14.51,4.14,4.66,12.61,11.59,7.15,14.21,19.23,6.81,19.04,9.36,6.48,6.71,8.12,14.89,18.53,14.00,19.03,15.42,32.02,16.74,21.96,12.55,24.91,44.32,28.03,56.27
