Address,Latitude,Longtitude
1,20.9000593,105.5785929
2,20.9602102,105.7634048
3,20.9629385,105.8221154
4,20.9634568,105.8315958
5,20.9708336,105.8299349
6,20.9741262,105.7894045
7,20.9857523,105.8579545
8,20.9861072,105.8115927
9,20.9891223,105.8298932
10,20.9906717,105.7838237
11,20.9926462,105.8004107
12,20.9954609,105.7576875
13,20.9977891,105.8400154
14,21.0021998,105.8068557
15,21.0028866,105.8529008
16,21.0030921,105.8684573
17,21.0089104,105.9368836
18,21.0092996,105.8333157
19,21.0108191,105.8180879
20,21.0134684,105.9492764
21,21.0156314,105.8331631
22,21.0261833,105.9102084
23,21.0271963,105.7728979
24,21.0302432,105.8464029
25,21.0332763,105.8068155
26,21.0339302,105.7990725
27,21.0343461,105.8316783
28,21.0408326,105.8495692
29,21.04147,105.7622623
30,21.0416297,105.7895855
31,21.042561,105.775175
32,21.0428238,105.7916802
33,21.0434445,105.7919913
34,21.0454238,105.7507293
35,21.0526345,105.8996408
36,21.053773,105.839794
37,21.0653816,105.7794344
38,21.0772955,105.7021123
39,21.0866563,105.6643965
40,21.0907052,105.7787279
41,21.1150042,105.493223
42,20.9289363,105.7816951
43,20.9297736,105.7816628
44,20.9373482,105.8389544
45,20.9475754,105.8450558
46,20.9552804,105.8043266
47,20.9558907,105.8014748
48,20.9611591,105.8428852
49,20.9612272,105.8407489
50,20.9624466,105.79106
51,20.9642676,105.7737978
52,20.9645026,105.7109683
53,20.9647907,105.8241034
54,20.9667089,105.7788276
55,20.9668886,105.8180824
56,20.9669223,105.7656281
57,20.9671683,105.7530815
58,20.969464,105.781088
59,20.9728197,105.743861
60,20.9729325,105.7749315
61,20.9737221,105.7604175
62,20.981801,105.832182
63,20.9824296,105.8859224
64,20.9831616,105.813179
65,20.9832744,105.8475093
66,20.9837781,105.8433594
67,20.9848805,105.8207903
68,20.9852722,105.7836425
69,20.985453,105.8308535
70,20.9894368,105.8647218
71,20.9895103,105.7973533
72,20.9918163,105.8417305
73,20.9930067,105.7991859
74,20.9943533,105.9431461
75,20.995287,105.7576949
76,20.9958369,105.8062974
77,20.9968215,105.8685889
78,20.9987533,105.8487871
79,20.9996449,105.8192733
80,21.0001533,105.8452141
81,21.0008751,105.8572355
82,21.0037273,105.8349579
83,21.0076519,105.6617211
84,21.0079834,105.7179336
85,21.0082325,105.6585263
86,21.0082523,105.7383542
87,21.010886,105.8226381
88,21.0128052,105.8555696
89,21.0146473,105.8210503
90,21.016705,105.8011691
91,21.01671,105.8011691
92,21.01671,105.8011691
93,21.0167278,105.8473257
94,21.018047,105.8335301
95,21.0234291,105.813835
96,21.0240798,105.611537
97,21.0249046,105.8248454
98,21.0251168,105.8468856
99,21.0259794,105.7936929
100,21.0305611,105.8197171
101,21.0307854,105.7597822
102,21.0319496,105.8552838
103,21.0336965,105.8511494
104,21.0345002,105.7817887
105,21.0345271,105.7907108
106,21.0351439,105.9080817
107,21.0367994,105.7598553
108,21.0390549,105.7246152
109,21.0399783,105.8436841
110,21.04147,105.7432079
111,21.0436645,105.8171904
112,21.0442435,105.8747004
113,21.0474333,105.8728496
114,21.0494937,105.8812368
115,21.0526127,105.7845368
116,21.0537109,105.7305626
117,21.0617227,105.8055054
118,21.0630339,105.729367
119,21.0648084,105.7967829
120,21.0789787,105.6122872
121,21.0865386,105.9370213
122,21.0882784,105.7262744
123,21.0882983,105.8061023
124,21.0938962,105.7002708
125,21.135839,105.505503
126,21.1463401,105.7486145
127,21.1966671,105.4237806
