,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.00,23.36,20.20,18.50,15.59,12.69,26.16,14.00,18.56,14.12,17.41,14.96,21.26,5.13,23.51,17.60,25.77,15.32,22.76,13.73
2,23.40,0.00,6.45,8.11,9.94,11.19,18.09,9.41,8.16,9.56,8.59,11.36,5.96,19.87,15.44,8.69,3.63,8.22,3.81,19.33
3,19.54,6.22,0.00,2.10,5.04,7.87,13.07,7.44,3.03,6.51,3.52,9.28,1.34,16.04,10.41,3.62,6.27,6.13,10.02,13.20
4,17.60,8.12,2.60,0.00,3.10,5.93,11.48,5.50,1.15,4.57,1.58,7.61,3.66,14.09,8.83,1.68,8.17,4.46,9.19,11.67
5,15.58,10.34,4.83,3.13,0.00,3.28,12.70,2.59,3.62,1.66,2.46,5.19,5.89,12.07,10.05,2.22,10.39,2.10,10.09,11.07
6,14.36,12.31,7.98,6.28,3.37,0.00,14.57,2.93,6.33,2.10,5.18,5.36,9.04,10.85,11.91,5.37,13.54,3.73,11.72,9.85
7,26.58,18.53,13.42,12.87,13.25,15.47,0.00,15.66,11.70,14.72,13.04,18.57,13.01,22.75,3.30,13.42,17.89,15.42,21.60,12.61
8,13.97,10.81,7.25,5.55,2.59,2.58,15.12,0.00,6.05,1.06,4.88,3.08,8.31,10.44,12.47,4.65,12.82,1.38,10.22,11.71
9,17.40,8.85,2.92,1.20,3.56,5.73,10.38,5.96,0.00,5.03,1.36,8.54,3.49,13.89,7.72,1.74,8.90,5.39,9.92,10.56
10,14.06,10.23,6.32,4.62,1.65,1.75,14.19,1.06,5.11,0.00,3.94,3.66,7.38,10.53,11.54,3.71,11.88,1.65,9.64,11.04
11,17.05,8.96,3.56,1.31,2.55,5.38,11.51,4.95,1.17,4.02,0.00,7.28,4.14,13.55,8.85,0.83,9.01,4.13,9.19,12.14
12,14.98,11.03,9.88,8.19,5.22,5.06,17.76,3.09,8.68,3.70,7.51,0.00,10.95,11.45,15.10,7.28,13.83,4.41,10.44,14.45
13,20.40,5.51,1.38,2.96,5.90,8.73,12.57,8.30,3.89,7.37,4.38,10.31,0.00,16.89,9.91,4.48,5.44,7.17,9.55,14.05
14,4.27,19.86,17.43,15.74,12.14,10.15,22.29,10.50,15.79,10.62,14.64,11.46,18.50,0.00,19.63,14.83,23.00,11.83,19.26,9.85
15,23.90,15.32,10.21,8.88,10.57,12.78,3.30,12.98,7.70,12.04,9.04,15.89,9.81,20.07,0.00,9.42,14.68,12.74,17.60,9.93
16,16.55,9.47,3.79,1.82,2.70,4.88,10.89,5.11,1.40,4.18,0.54,7.68,4.37,13.04,8.24,0.00,9.52,4.54,9.73,10.81
17,26.59,4.29,7.55,9.21,12.09,14.92,17.94,14.49,10.14,13.56,10.57,16.14,6.72,23.08,15.29,10.67,0.00,13.00,6.97,20.30
18,15.27,8.90,6.73,5.03,2.07,3.31,14.52,1.34,5.53,1.69,4.36,4.38,7.79,11.74,11.86,4.13,12.30,0.00,8.31,11.46
19,23.29,3.95,9.13,8.17,9.84,11.08,19.39,9.30,9.06,9.46,9.49,11.25,8.65,19.76,16.73,9.16,6.44,8.11,0.00,19.22
20,14.39,19.39,13.46,11.74,10.98,11.00,12.66,12.76,10.57,12.07,11.29,15.35,14.04,10.57,10.00,11.06,19.44,12.51,20.50,0.00
